Rx	type
Air	NULL
Alfentanil	narcotic
Atracurium	NULL
Atropine	NULL
Augmentin	antibiotic
Bupivicane	anesthetic
Cephazolin	antibiotic
Clonidine	sedative
Desflurane	anesthetic
Dexemethasone	NULL
Ephedrine	stimulant
Famotidine	NULL
Fentanyl	narcotic
Halothane	anesthetic
Isoflurane	anesthetic
Lignocaine	anesthetic
Local anaesthetic	anesthetic
Losec	NULL
Meteraminol	NULL
Midazolam	sedative
Morphine	narcotic
Neostigmine	stimulant
Nitrous Oxide	sedative
Ondansetron	antiemetic
Oxygen	NULL
Paracoxib	NULL
Pethadine	narcotic
Plasmalyte	NULL
Propofol	anesthetic
Ranitidine	NULL
Remifentynal	narcotic
Rocuronium	NULL
Ropivicaine	anesthetic
Sevoflurane	anesthetic
Sodium Citrate	NULL
Tenoxicam	NULL
Tetracaine	anesthetic
Tranexamic Acid	NULL
Vecuronium	NULL
