eventAssignmentId	eventId	employeeId
1	1	4
2	1	13
3	2	3
4	2	8
5	3	7
6	3	16
7	4	9
8	4	12
9	5	2
10	5	9
11	6	6
12	6	9
13	7	1
14	7	2
15	8	3
16	8	18
17	9	11
18	9	12
19	10	4
20	10	19
21	11	18
22	11	21
23	12	13
24	12	19
25	13	17
26	13	20
27	14	4
28	14	18
29	15	10
30	15	12
31	16	11
32	16	18
33	17	2
34	17	15
35	18	12
36	18	19
37	19	8
38	19	19
39	20	5
40	20	20
41	21	5
42	21	19
43	22	6
44	22	8
45	23	15
46	23	21
47	24	7
48	24	9
49	25	3
50	25	7
51	26	8
52	26	14
53	27	6
54	27	7
55	28	3
56	28	18
57	29	3
58	29	5
59	30	5
60	30	21
61	31	12
62	31	14
63	32	12
64	32	20
65	33	16
66	33	17
67	34	19
68	34	20
69	35	6
70	35	19
71	36	12
72	36	13
73	37	5
74	37	20
75	38	2
76	38	12
77	39	2
78	39	17
79	40	7
80	40	21
81	41	2
82	41	17
83	42	3
84	42	10
85	43	2
86	43	17
87	44	3
88	44	15
89	45	5
90	45	9
91	46	6
92	46	19
93	47	1
94	47	17
95	48	2
96	48	17
97	49	2
98	49	5
99	50	5
100	50	14
101	51	1
102	51	20
103	52	11
104	52	20
105	53	16
106	53	19
107	54	4
108	54	7
109	55	7
110	55	10
111	56	3
112	56	15
113	57	9
114	57	11
115	58	11
116	58	15
117	59	17
118	59	20
119	60	10
120	60	12
121	61	5
122	61	11
123	62	17
124	62	21
125	5	7
126	5	12
127	44	20
128	39	11
129	39	1
