eventId	eventName	eventStart	eventEnd	locationId	menuId
1	GSA Coffee Break	1/19/17 13:00	1/19/17 15:30	7	2
2	GSA Coffee Break	2/2/17 15:00	2/2/17 16:30	7	2
3	GSA Coffee Break	2/23/17 13:00	2/23/17 15:30	7	2
4	GSA Coffee Break	3/9/17 15:00	3/9/17 16:30	7	2
5	Valhalloween	10/31/16 19:00	11/1/16 2:00	1	1
6	GSA Picnic	3/31/17 19:00	3/31/17 23:59	1	3
7	GSA Study Break	2/16/17 19:00	2/16/17 21:00	8	4
8	Commencement	5/13/17 10:00	5/13/17 16:00	9	1
9	Hooding	6/16/17 14:00	6/16/17 16:00	12	1
10	Pi Day	3/14/17 11:00	3/14/17 13:00	9	1
11	Wedding	8/19/17 17:00	8/19/17 23:00	10	2
12	Baker College Study Break	4/3/17 19:00	4/3/17 21:00	22	4
13	Brown College Study Break	4/7/17 19:00	4/7/17 21:00	23	4
14	Duncan College Study Break	4/5/17 19:00	4/5/17 21:00	24	2
15	Hanszen College Study Break	4/6/17 19:00	4/6/17 21:00	25	2
16	Jones College Study Break	4/12/17 19:00	4/12/17 21:00	26	4
17	Lovett College Study Break	4/13/17 19:00	4/13/17 21:00	27	2
18	Martel College Study Break	4/14/17 19:00	4/14/17 21:00	28	2
19	McMurty College Study Break	4/15/17 14:00	4/15/17 17:00	29	3
20	GSA Study Break	4/15/17 19:00	4/15/17 22:00	1	4
21	Sid Richardson College Study Break	4/27/17 19:00	4/27/17 21:00	30	2
22	Weiss College Study Break	4/26/17 19:00	4/26/17 21:00	31	2
23	Will Rice College Study Break	3/29/17 19:00	3/29/17 21:00	32	2
24	Career Fair	3/16/17 10:00	3/16/17 16:00	11	3
25	Data Science Conference	2/20/17 12:00	2/20/17 16:00	3	3
26	90 Second Thesis Competition	4/20/17 19:00	4/20/17 21:00	3	3
27	Valhalla Food Truck Night	6/15/17 16:00	6/15/17 21:00	1	1
28	Jones Food Truck Night	6/22/17 16:00	6/22/17 21:00	26	1
29	BRC Food Truck Night	6/29/17 16:00	6/29/17 21:00	13	1
30	RGA Food Truck Night	7/12/17 16:00	7/12/17 21:00	4	1
31	Rice Village Apt Food Truck Night	7/17/17 16:00	7/17/17 21:00	5	1
32	BRC Blood Drive	5/5/17 11:00	5/5/17 15:00	13	3
33	Stone Brewery Tap Takeover	5/11/17 16:00	5/12/17 2:00	1	1
34	St. Arnolds Tap Takeover	5/3/17 16:00	5/4/17 2:00	1	1
35	Brash Tap Takeover	5/8/17 16:00	5/8/17 2:00	1	1
36	Karbach Tap Takeover	5/17/17 16:00	5/18/17 2:00	1	1
37	Magic Hat Tap Takeover	5/24/17 16:00	5/25/17 2:00	1	1
38	Powder Puff Game	4/8/17 15:30	4/8/17 17:30	11	3
39	Beer Bike	4/1/16 10:00	4/1/16 11:59	2	1
40	GSA Culture Night	3/10/17 15:30	3/10/17 23:30	1	1
41	GSA Spring Picnic	3/24/17 15:30	3/24/17 23:30	1	3
42	GSA Fall Picnic	9/15/17 15:30	9/15/17 23:30	1	3
43	Badging	8/16/17 8:00	8/16/17 17:00	20	3
44	Art Opening	1/18/17 11:30	1/18/17 23:30	21	1
45	Performance	4/28/17 18:30	4/28/17 23:30	21	1
46	GSA Movie Night	6/14/17 18:30	6/14/17 23:00	9	1
47	Sid Rich Movie Night	5/9/17 18:30	5/9/17 23:00	30	1
48	Hanszen Movie Night	5/10/17 18:30	5/10/17 23:00	25	1
49	Orientation Picnic	8/12/17 11:30	8/12/17 14:30	1	3
50	Activities Fair	8/12/17 15:00	8/12/17 23:00	14	3
51	Freshman Visit	4/4/17 18:30	4/4/17 23:00	27	1
52	Research Colloquium	8/30/17 11:30	8/30/17 15:00	18	1
53	Grad Games	9/7/17 18:30	9/7/17 23:00	7	2
54	Study Break	9/13/17 17:30	9/13/17 22:00	6	2
55	Football Game	9/9/17 13:30	9/9/17 18:00	17	3
56	Partio	9/22/17 16:00	9/22/17 23:00	19	4
57	Hackathon	10/14/17 11:30	10/14/17 23:00	3	1
58	Sid Rich College Study Break	4/16/17 20:00	4/16/17 23:00	30	3
59	Weiss College Study Break	4/9/17 12:00	4/9/17 15:30	31	3
60	CS Study Break	9/14/17 15:30	9/14/17 23:30	3	3
61	Intramural Sport Xtravaganza	9/16/17 10:30	9/16/17 17:30	11	3
62	Will Rice College Study Break	4/10/17 20:00	4/11/17 1:30	32	3
77	foo	1/19/17 13:30	1/19/17 16:00	24	1
78	new event 1	1/19/17 13:30	1/19/17 16:00	24	1
79	new event 2	5/6/17 11:00	5/6/17 16:00	17	3
