menuItemId	menuId	productCode	price
1	1	b	8.00
2	1	bf	6.00
3	1	bs	7.00
4	1	c1	3.00
5	1	c2	4.00
6	1	c3	5.00
7	1	cx	0.50
8	1	wc	6.00
9	1	d1	3.00
10	1	d2	4.00
11	1	d3	5.00
12	1	dx	2.00
13	1	dk	0.75
14	1	fl	6.00
15	1	ms	6.00
16	1	mt	5.00
17	1	pt	6.00
18	1	s1	5.00
19	1	s2	6.00
20	1	sx	0.50
21	1	sl1	3.00
22	1	sl2	4.00
23	1	sl3	5.00
24	1	slx	0.25
25	1	ss	7.00
26	1	ts	7.00
27	2	bf	4.00
28	2	c1	2.00
29	2	c2	3.00
30	2	c3	4.00
31	2	cx	0.25
32	2	d1	2.00
33	2	d2	3.00
34	2	d3	4.00
35	2	dx	0.25
36	2	dk	1.00
37	2	fl	4.00
38	2	ms	4.00
39	2	s1	4.00
40	2	s2	5.00
41	2	sx	0.50
42	2	sl1	2.00
43	2	sl2	3.00
44	2	sl3	4.00
45	2	slx	0.25
46	3	bf	8.00
47	3	c1	3.00
48	3	c2	4.00
49	3	c3	5.00
50	3	cx	0.50
51	3	d1	3.00
52	3	d2	4.00
53	3	d3	5.00
54	3	dx	0.50
55	3	dk	2.00
56	3	sl1	3.00
57	3	sl2	4.00
58	3	sl3	5.00
59	3	slx	0.50
60	4	s1	6.00
61	4	s2	7.00
62	4	sx	1.00
