eventId	eventName	eventStart	eventEnd	locationId	menuId
1	GSA Coffee Break	2017-01-19 13:00:00	2017-01-19 15:30:00	7	2
2	GSA Coffee Break	2017-02-02 15:00:00	2017-02-02 16:30:00	7	2
3	GSA Coffee Break	2017-02-23 13:00:00	2017-02-23 15:30:00	7	2
4	GSA Coffee Break	2017-03-09 15:00:00	2017-03-09 16:30:00	7	2
5	Valhalloween	2016-10-31 19:00:00	2016-11-01 02:00:00	1	1
6	GSA Picnic	2017-03-31 19:00:00	2017-03-31 23:59:00	1	3
7	GSA Study Break	2017-02-16 19:00:00	2017-02-16 21:00:00	8	4
8	Commencement	2017-05-13 10:00:00	2017-05-13 16:00:00	9	1
9	Hooding	2017-06-16 14:00:00	2017-06-16 16:00:00	12	1
10	Pi Day	2017-03-14 11:00:00	2017-03-14 13:00:00	9	1
11	Wedding	2017-08-19 17:00:00	2017-08-19 23:00:00	10	2
12	Baker College Study Break	2017-04-03 19:00:00	2017-04-03 21:00:00	22	4
13	Brown College Study Break	2017-04-07 19:00:00	2017-04-07 21:00:00	23	4
14	Duncan College Study Break	2017-04-05 19:00:00	2017-04-05 21:00:00	24	2
15	Hanszen College Study Break	2017-04-06 19:00:00	2017-04-06 21:00:00	25	2
16	Jones College Study Break	2017-04-12 19:00:00	2017-04-12 21:00:00	26	4
17	Lovett College Study Break	2017-04-13 19:00:00	2017-04-13 21:00:00	27	2
18	Martel College Study Break	2017-04-14 19:00:00	2017-04-14 21:00:00	28	2
19	McMurty College Study Break	2017-04-15 14:00:00	2017-04-15 17:00:00	29	3
20	GSA Study Break	2017-04-15 19:00:00	2017-04-15 22:00:00	1	4
21	Sid Richardson College Study Break	2017-04-27 19:00:00	2017-04-27 21:00:00	30	2
22	Weiss College Study Break	2017-04-26 19:00:00	2017-04-26 21:00:00	31	2
23	Will Rice College Study Break	2017-03-29 19:00:00	2017-03-29 21:00:00	32	2
24	Career Fair	2017-03-16 10:00:00	2017-03-16 16:00:00	11	3
25	Data Science Conference	2017-02-20 12:00:00	2017-02-20 16:00:00	3	3
26	90 Second Thesis Competition	2017-04-20 19:00:00	2017-04-20 21:00:00	3	3
27	Valhalla Food Truck Night	2017-06-15 16:00:00	2017-06-15 21:00:00	1	1
28	Jones Food Truck Night	2017-06-22 16:00:00	2017-06-22 21:00:00	26	1
29	BRC Food Truck Night	2017-06-29 16:00:00	2017-06-29 21:00:00	13	1
30	RGA Food Truck Night	2017-07-12 16:00:00	2017-07-12 21:00:00	4	1
31	Rice Village Apt Food Truck Night	2017-07-17 16:00:00	2017-07-17 21:00:00	5	1
32	BRC Blood Drive	2017-05-05 11:00:00	2017-05-05 15:00:00	13	3
33	Stone Brewery Tap Takeover	2017-05-11 16:00:00	2017-05-12 02:00:00	1	1
34	St. Arnolds Tap Takeover	2017-05-03 16:00:00	2017-05-04 02:00:00	1	1
35	Brash Tap Takeover	2017-05-08 16:00:00	2017-05-09 02:00:00	1	1
36	Karbach Tap Takeover	2017-05-17 16:00:00	2017-05-18 02:00:00	1	1
37	Magic Hat Tap Takeover	2017-05-24 16:00:00	2017-05-25 02:00:00	1	1
38	Powder Puff Game	2017-04-08 15:30:00	2017-04-08 17:30:00	11	3
39	Beer Bike	2016-04-01 10:00:00	2016-04-01 11:59:00	2	1
40	GSA Culture Night	2017-03-10 15:30:00	2017-03-10 23:30:00	1	1
41	GSA Spring Picnic	2017-03-24 15:30:00	2017-03-24 23:30:00	1	3
42	GSA Fall Picnic	2017-09-15 15:30:00	2017-09-15 23:30:00	1	3
43	Badging	2017-08-16 08:00:00	2017-08-16 17:00:00	20	3
44	Art Opening	2017-01-18 11:30:00	2017-01-18 23:30:00	21	1
45	Performance	2017-04-28 18:30:00	2017-04-28 23:30:00	21	1
46	GSA Movie Night	2017-06-14 18:30:00	2017-06-14 23:00:00	9	1
47	Sid Rich Movie Night	2017-05-09 18:30:00	2017-05-09 23:00:00	30	1
48	Hanszen Movie Night	2017-05-10 18:30:00	2017-05-10 23:00:00	25	1
49	Orientation Picnic	2017-08-12 11:30:00	2017-08-12 14:30:00	1	3
50	Activities Fair	2017-08-12 15:00:00	2017-08-12 23:00:00	14	3
51	Freshman Visit	2017-04-04 18:30:00	2017-04-04 23:00:00	27	1
52	Research Colloquium	2017-08-30 11:30:00	2017-08-30 15:00:00	18	1
53	Grad Games	2017-09-07 18:30:00	2017-09-07 23:00:00	7	2
54	Study Break	2017-09-13 17:30:00	2017-09-13 22:00:00	6	2
55	Football Game	2017-09-09 13:30:00	2017-09-09 18:00:00	17	3
56	Partio	2017-09-22 16:00:00	2017-09-22 23:00:00	19	4
57	Hackathon	2017-10-14 11:30:00	2017-10-14 23:00:00	3	1
58	Sid Rich College Study Break	2017-04-16 20:00:00	2017-04-16 23:00:00	30	3
59	Weiss College Study Break	2017-04-09 12:00:00	2017-04-09 15:30:00	31	3
60	CS Study Break	2017-09-14 15:30:00	2017-09-14 23:30:00	3	3
61	Intramural Sport Xtravaganza	2017-09-16 10:30:00	2017-09-16 17:30:00	11	3
62	Will Rice College Study Break	2017-04-10 20:00:00	2017-04-11 01:30:00	32	3
