productSoldId	productCode	ticketId
1	s1	1
2	sl2	1
3	c2	2
4	d2	3
5	d2	4
6	bf	4
7	bf	5
8	dk	6
9	c2	6
10	d1	7
11	sl3	8
12	sl3	9
13	c2	9
14	s1	10
15	ms	10
16	d3	11
17	s1	12
18	sl1	12
19	d3	13
20	c3	14
21	d3	15
22	bf	15
23	d1	16
24	bf	16
25	sl3	17
26	c3	17
27	s1	18
28	d2	18
29	dk	19
30	sl2	19
31	ms	20
32	c1	20
33	c3	21
34	s1	21
35	sl2	22
36	s2	22
37	fl	23
38	fl	24
39	c2	24
40	d2	25
41	c3	25
42	s2	26
43	sl3	26
44	dk	27
45	sl1	27
46	d1	28
47	bf	28
48	d3	29
49	bf	29
50	c2	30
51	d2	31
52	c2	31
53	c2	32
54	c2	32
55	bf	33
56	fl	33
57	sl3	34
58	ms	34
59	sl3	34
60	fl	35
61	fl	35
62	sl3	35
65	d2	37
66	d3	38
73	c2	41
74	d3	41
75	dk	41
76	fl	42
77	d2	42
78	s1	43
79	sl1	43
80	sl2	44
81	fl	44
82	c1	45
83	c2	45
84	s1	46
85	s2	46
86	d3	47
87	s2	47
88	sl1	48
89	ms	48
90	sl1	49
91	c2	49
92	s1	50
93	s2	51
94	s2	51
95	c1	52
96	s2	52
97	sl1	53
98	sl2	53
99	s2	54
100	bf	54
101	c2	55
102	dk	55
103	sl1	56
104	c2	57
105	ms	57
106	s1	57
107	s2	58
108	dk	58
109	sl1	59
110	c2	60
111	c1	60
112	s1	60
113	s1	60
114	c1	60
115	c1	61
116	bf	62
117	sl3	62
118	dk	63
119	c2	63
120	sl2	64
121	d2	65
122	c3	65
123	d2	65
124	s1	65
125	c2	65
126	sl3	66
127	c2	66
128	d3	66
129	s2	67
130	s2	67
131	d3	68
132	ms	68
133	s2	69
134	ms	69
135	d2	70
136	sl3	70
137	dk	70
138	sl1	70
139	dk	71
140	ms	71
141	d2	72
142	d1	72
143	d2	73
144	sl2	73
145	d2	74
146	b	75
147	mt	75
148	wc	75
149	s1	75
152	s2	77
153	d2	77
154	d3	77
155	ts	77
156	d1	77
157	ts	78
158	ss	79
159	d2	79
160	sl2	80
161	wc	80
162	wc	80
163	ts	81
164	sl2	81
165	wc	81
166	bs	81
167	bs	82
168	d1	82
169	sl2	83
170	d1	83
171	bs	84
172	sl1	84
173	fl	84
174	bs	84
175	ts	84
176	ss	84
177	wc	84
178	sl3	85
179	c2	85
180	c2	85
181	sl3	85
182	c1	86
183	sl1	86
184	d3	86
185	bs	86
186	c2	87
187	bs	87
188	ss	87
189	b	87
190	c2	87
191	s2	87
192	c1	88
193	sl1	88
194	ss	88
195	d1	89
196	bs	90
197	d1	90
198	wc	90
199	c2	90
200	d1	91
201	bs	92
202	s2	92
203	mt	93
204	s1	93
205	d1	94
206	c1	94
207	bs	95
208	wc	95
209	d2	95
210	wc	96
211	sl2	96
212	b	97
213	fl	97
214	c3	97
215	d1	98
216	sl3	98
217	d3	98
218	b	98
219	d1	99
220	c3	99
221	b	100
222	ss	100
223	fl	100
224	d2	101
225	sl1	101
226	fl	101
227	d3	102
228	sl3	102
229	wc	102
230	sl3	102
231	ss	103
232	bs	103
233	d1	103
234	sl1	104
235	mt	104
236	dk	104
237	fl	105
238	bf	105
239	mt	106
240	dk	106
241	b	106
242	bf	106
243	fl	107
244	d3	107
245	s1	108
246	mt	108
247	bs	108
248	mt	108
249	d2	108
250	d1	109
251	sl2	110
252	bf	110
253	s2	111
254	c2	111
255	sl1	111
256	ms	112
257	d3	112
258	d1	112
259	ts	112
260	dk	112
261	d3	113
262	ts	113
263	ts	114
264	b	114
265	d3	115
266	s2	115
267	s2	116
268	c3	116
269	c1	116
270	d3	117
271	bf	117
272	ss	117
273	bf	118
274	c3	118
275	ts	118
276	d2	119
277	dk	119
278	b	120
279	sl2	120
280	c3	121
281	s1	122
282	wc	122
283	b	123
284	b	123
285	pt	124
286	sl1	124
287	wc	124
288	sl2	124
289	fl	124
290	sl3	124
291	ss	125
292	ss	125
293	ms	125
294	sl3	125
295	mt	126
296	ms	127
297	bs	127
298	pt	128
299	c3	128
300	b	128
301	pt	128
302	s1	128
303	wc	129
304	b	130
305	sl2	130
306	b	130
307	d2	130
308	fl	130
309	fl	131
310	s2	132
311	mt	132
312	sl1	133
313	d3	133
314	d1	134
315	ss	134
316	d1	134
317	c3	135
318	c1	135
319	c2	135
320	ts	135
321	d3	136
322	s1	136
323	pt	137
324	ss	137
325	b	137
326	mt	138
327	c2	138
328	c2	138
329	ts	138
330	d1	138
331	sl3	138
332	c3	139
333	d2	139
334	sl1	139
335	c1	139
336	d1	140
337	dk	141
338	wc	141
339	pt	141
340	c1	141
341	sl3	141
342	s2	141
343	sl1	141
344	s1	142
345	fl	142
346	s1	143
347	bf	143
348	wc	143
349	sl1	143
350	s2	144
351	d2	144
352	fl	145
353	sl3	145
354	sl1	145
355	ms	145
356	b	145
357	fl	145
358	wc	146
359	d2	147
360	bs	147
361	c2	147
362	bs	147
363	bs	148
364	pt	148
365	c2	148
366	s1	149
367	b	150
368	sl2	151
369	ts	151
370	pt	151
371	pt	151
372	b	152
373	sl2	152
374	mt	152
375	dk	153
376	s1	153
377	d1	154
378	c1	154
379	mt	155
380	c3	155
381	fl	155
382	c3	156
383	sl1	156
384	ts	156
385	s2	157
386	sl1	157
387	pt	157
388	ss	157
389	d3	158
390	d1	158
391	wc	158
392	d1	158
393	c2	158
394	sl1	158
395	ss	159
396	ts	159
397	fl	159
398	pt	160
399	sl3	160
400	s1	161
401	ss	161
402	c2	162
403	s1	162
404	wc	162
405	ms	162
406	s2	163
407	ss	163
408	sl1	164
409	ss	164
410	sl3	165
411	d1	165
412	pt	165
413	s2	165
414	ts	165
415	pt	165
416	wc	166
417	mt	167
418	c1	168
419	pt	168
420	mt	168
421	b	169
422	d1	169
423	mt	169
424	sl3	170
425	s1	170
426	sl3	170
427	bs	170
428	c2	171
429	d1	171
430	dk	172
431	sl2	172
432	c1	172
433	d1	173
434	d1	173
435	sl2	173
436	d1	173
437	d3	174
438	c1	174
439	sl2	174
440	mt	175
441	bs	176
442	b	176
443	c2	177
444	s2	177
445	dk	177
446	ts	177
447	ss	178
448	fl	178
449	sl3	178
450	b	179
451	wc	179
452	d1	179
453	bf	179
454	ss	180
455	sl1	180
456	c3	180
457	wc	180
458	d1	180
459	pt	181
460	ts	181
461	c2	181
462	s2	182
463	pt	182
464	d2	182
465	ss	182
466	b	182
467	d1	183
468	ss	183
469	sl3	184
470	sl2	184
471	s1	185
472	sl3	185
473	d3	186
474	c1	186
475	s1	187
476	s2	187
477	pt	187
478	ms	188
479	mt	188
480	d1	189
481	fl	189
482	pt	190
483	b	190
484	ts	191
485	wc	192
486	bf	192
487	s2	192
488	pt	193
489	wc	193
490	b	193
491	ms	194
492	sl2	195
493	ms	195
494	d3	195
495	fl	195
496	d3	195
497	ts	196
498	ss	196
499	fl	196
500	ss	197
501	sl2	197
502	sl1	197
503	dk	198
504	sl2	198
505	dk	198
506	c3	198
507	bs	198
508	bs	198
509	bf	199
510	ms	199
511	sl2	200
512	dk	200
513	sl1	201
514	wc	202
515	fl	202
516	d2	203
517	sl1	204
518	sl1	204
519	d1	205
520	d2	205
521	c2	206
522	bs	206
523	d1	207
524	bf	207
525	ss	208
526	sl3	208
527	c3	208
528	bf	209
529	dk	209
530	d2	210
531	d2	210
532	mt	210
533	sl3	210
534	s1	210
535	s1	210
536	sl3	210
537	mt	211
538	ts	212
539	s2	213
540	bs	213
541	s1	213
542	sl1	214
543	s2	214
544	c1	214
545	d3	214
546	d1	215
547	sl2	215
548	ss	216
549	s2	216
550	fl	216
551	ss	216
552	fl	217
553	b	217
554	c2	218
555	wc	218
556	d2	218
557	ss	218
558	dk	218
559	c3	218
560	d1	219
561	b	219
562	c1	220
563	bs	220
564	c1	221
565	d3	221
566	sl2	221
567	ts	221
568	d2	222
569	c2	222
570	dk	222
571	bs	223
572	c1	223
573	sl2	224
574	sl2	224
575	ms	224
576	wc	224
577	c1	225
578	wc	225
579	d3	225
580	bs	225
581	ms	225
582	wc	225
583	c1	226
584	d1	226
585	c1	227
586	dk	227
587	d2	228
588	wc	228
589	c3	228
590	d2	228
591	bs	228
592	bf	229
593	d1	229
594	sl3	229
595	wc	229
596	sl3	229
597	fl	230
598	ms	231
599	d1	231
600	sl1	232
601	d2	232
602	bf	232
603	wc	233
604	s1	233
605	ts	233
606	sl3	233
607	ms	234
608	c3	235
609	c2	236
610	c3	236
611	c3	237
612	ts	237
613	fl	237
614	mt	237
615	sl2	238
616	c2	238
617	d3	239
618	b	240
619	d2	240
620	c1	241
621	ss	241
622	sl1	241
623	sl2	241
624	c1	241
625	sl2	242
626	s2	242
627	ss	242
628	fl	242
629	c2	243
630	bf	243
631	c3	243
632	b	243
633	bf	243
634	sl2	243
635	c1	244
636	ms	244
637	ss	244
638	mt	245
639	b	245
640	bs	245
641	ss	246
642	mt	246
643	ts	247
644	c2	247
645	s2	247
646	sl1	247
647	ts	247
648	bf	247
649	d2	248
650	ss	248
651	c2	248
652	bf	248
653	mt	248
654	sl3	249
655	b	249
656	sl1	250
657	s2	250
658	bf	251
659	bf	251
660	sl3	252
661	sl2	252
662	pt	253
663	s2	253
664	bf	253
665	b	253
666	s1	253
667	wc	253
668	s2	254
669	d3	254
670	fl	254
671	bf	254
672	pt	255
673	s1	255
674	sl1	256
675	c3	256
676	c1	256
677	c3	257
678	sl1	257
679	sl2	257
680	d2	258
681	sl2	258
682	d1	258
683	b	258
684	d1	258
685	d1	258
686	bs	258
687	wc	259
688	sl3	259
689	ms	260
690	wc	260
691	dk	260
692	c3	261
693	s2	261
694	c1	261
695	dk	261
696	bs	262
697	fl	262
698	ms	262
699	c2	262
700	d1	263
701	d1	263
702	bs	264
703	pt	264
704	fl	264
705	s2	264
706	c1	264
707	pt	265
708	wc	265
709	bf	265
710	sl3	265
711	dk	266
712	bf	266
713	ts	266
714	d2	266
715	s2	267
716	sl3	267
717	d3	268
718	bf	268
719	ts	269
720	fl	270
721	d1	270
722	s1	270
723	sl3	271
724	d3	272
725	bs	272
726	s1	273
727	sl1	273
728	s1	273
729	c3	274
730	mt	274
731	c3	275
732	d1	275
733	c1	275
734	c3	275
735	s1	276
736	s2	276
737	sl1	277
738	c2	277
739	c3	277
740	sl3	277
741	c1	278
742	s1	279
743	sl2	279
744	s2	279
745	b	279
746	d2	280
747	c1	280
748	ts	280
749	c2	280
750	d1	281
751	ms	282
752	d3	282
753	c1	283
754	s2	283
755	d2	284
756	c2	284
757	pt	284
758	fl	284
759	d3	284
760	c3	285
761	c2	285
762	sl2	286
763	sl1	286
764	ts	287
765	s2	288
766	ss	288
767	bs	288
768	sl2	288
769	d1	289
770	d1	289
771	d2	290
772	s1	290
773	sl2	291
774	ts	291
775	c3	291
776	d2	292
777	c2	292
778	sl1	292
779	sl1	292
780	s2	292
781	c2	293
782	mt	293
783	bf	294
784	s1	294
785	c1	294
786	ss	295
787	bf	295
788	c1	296
789	b	296
790	bs	296
791	dk	297
792	s1	297
793	b	297
794	sl1	297
795	c1	297
796	sl1	297
797	s1	297
798	c1	298
799	d2	298
800	fl	298
801	pt	299
802	c3	299
803	ts	300
804	fl	300
805	ms	300
806	bs	301
807	dk	301
808	sl2	301
809	sl1	301
810	c2	302
811	ss	302
812	c3	302
813	bs	302
814	fl	303
815	dk	303
816	ms	304
817	s2	304
818	wc	304
819	mt	305
820	bs	305
821	sl1	305
822	dk	306
823	c3	306
824	c2	306
825	mt	306
826	sl3	306
827	c1	306
828	c2	307
829	c2	307
830	d2	307
831	bf	308
832	mt	308
833	s1	309
834	pt	309
835	c1	310
836	dk	310
837	wc	310
838	d3	310
839	c2	310
840	bs	311
841	d3	311
842	ms	311
843	sl3	311
844	c1	311
845	sl1	312
846	wc	312
847	d2	313
848	mt	313
849	fl	313
850	bs	314
851	c1	314
852	c1	315
853	dk	315
854	fl	316
855	c3	316
856	mt	316
857	sl1	316
858	c3	316
859	b	317
860	ts	318
861	fl	318
862	fl	318
863	s2	318
864	d2	319
865	bf	319
866	sl3	320
873	c1	324
874	bf	324
875	d1	325
876	sl3	326
877	d3	326
878	sl1	327
879	d1	327
880	bf	328
881	dk	329
882	d3	329
883	c1	329
884	sl3	330
885	sl3	330
886	c2	331
887	sl1	331
888	sl2	332
889	dk	332
890	c2	333
891	sl3	333
892	d1	334
893	c1	335
894	d1	335
895	d1	336
896	dk	337
897	c1	337
898	c2	338
899	c3	338
900	c1	339
901	bf	339
902	c3	340
903	sl2	340
904	c2	341
905	d1	342
906	dk	342
907	bf	343
908	c3	344
909	sl1	344
910	c2	345
911	dk	345
912	c3	346
913	sl1	347
914	c3	347
915	d1	348
916	d3	348
917	c1	349
918	sl3	349
919	sl2	350
920	dk	350
921	sl1	351
922	sl3	351
923	sl1	352
924	c2	352
925	bf	353
926	d2	354
927	sl1	354
928	c1	355
929	sl3	355
930	d2	356
931	sl3	357
932	bf	357
933	d2	358
934	d1	359
935	d2	359
936	c1	360
937	d2	361
938	sl2	362
939	c1	363
940	c2	364
941	sl2	364
942	c1	365
943	dk	365
944	d3	366
945	c2	366
946	sl2	367
947	d3	367
948	sl1	368
949	sl2	368
950	bf	369
951	d2	370
952	dk	370
953	c2	371
954	c1	371
955	sl3	372
956	c1	372
957	bf	373
958	bf	373
959	sl3	374
960	d1	375
961	c2	375
962	sl3	376
963	d3	377
964	bf	377
965	sl3	378
966	dk	378
967	c3	379
968	sl2	379
969	c3	380
970	sl1	380
971	sl2	381
972	sl1	382
973	d3	383
974	bf	383
975	dk	384
976	d3	384
977	sl2	385
978	c3	385
979	d3	386
980	sl3	386
981	c1	387
982	sl2	387
983	d3	388
984	c1	388
985	d1	389
986	d3	389
987	sl1	390
988	c3	390
989	sl2	391
990	d1	391
991	sl2	392
992	d3	392
993	bf	393
994	c2	394
995	d2	394
996	c2	395
997	d2	395
998	d2	396
999	c2	396
1000	c3	397
1001	c3	397
1002	d2	398
1003	sl2	399
1004	c2	399
1005	sl3	400
1006	bf	400
1007	c1	401
1008	c1	401
1009	c1	402
1010	d3	402
1011	sl3	403
1012	sl3	403
1013	sl3	404
1014	d2	404
1015	bf	405
1016	bf	405
1017	d2	406
1018	d2	406
1019	sl3	407
1020	bf	407
1021	c2	408
1022	c3	409
1023	sl2	410
1024	c1	411
1025	dk	411
1026	sl1	412
1027	c1	412
1028	d3	413
1029	sl1	414
1030	c3	415
1031	d1	416
1032	c1	416
1033	bf	417
1034	bf	417
1035	sl2	418
1036	dk	418
1037	sl2	419
1038	d3	420
1039	dk	420
1040	sl3	421
1041	d3	421
1042	dk	422
1043	c2	422
1044	d2	423
1045	dk	423
1046	bf	424
1047	d1	425
1048	sl3	425
1049	sl2	426
1050	sl2	426
1051	sl1	427
1052	c1	427
1053	s1	428
1054	s2	428
1055	s1	428
1058	s2	430
1059	s2	430
1060	s2	431
1061	s1	431
1062	s2	431
1063	s2	431
1064	s2	432
1065	s1	432
1066	s1	432
1067	s2	432
1068	s2	432
1071	s2	434
1072	s1	435
1073	s2	436
1074	s2	436
1075	s2	436
1076	s1	436
1077	s2	436
1078	s1	437
1079	s1	437
1080	s2	438
1081	s2	439
1082	s1	439
1083	s1	440
1084	s2	440
1085	s1	440
1086	s1	440
1087	s2	440
1088	s1	441
1089	s1	441
1090	s2	442
1091	s1	442
1092	s1	442
1093	s2	442
1094	s1	443
1095	s2	443
1096	s2	444
1097	s2	444
1098	s1	444
1099	s2	444
1100	s1	445
1101	s2	445
1102	s2	446
1103	s1	446
1104	s1	447
1105	s2	447
1106	s1	447
1107	s1	447
1108	s1	447
1109	s2	447
1110	s2	447
1111	s2	448
1112	s2	448
1113	s1	448
1114	s2	448
1115	sl2	449
1116	mt	449
1117	bs	449
1118	d2	449
1119	sl2	449
1120	d3	449
1121	d2	449
1122	c2	449
1123	sl2	449
1124	d3	449
1125	bs	449
1126	s1	450
1127	d2	450
1128	b	450
1129	c3	450
1130	bs	450
1131	wc	450
1132	s1	450
1133	bs	450
1134	d1	450
1135	bs	450
1136	s1	451
1137	mt	451
1138	mt	451
1139	ms	451
1140	pt	451
1141	s1	451
1142	bs	451
1143	d2	452
1144	pt	452
1145	c2	452
1146	pt	452
1147	ms	452
1148	d3	452
1149	c2	452
1150	s2	452
1151	c2	453
1152	fl	453
1153	d3	454
1154	sl2	454
1155	sl1	454
1156	fl	454
1157	d2	454
1158	c3	454
1159	bf	454
1160	c3	454
1161	d3	454
1162	dk	455
1163	ts	455
1164	c2	456
1165	wc	456
1166	c3	456
1167	bs	457
1168	d3	457
1169	b	457
1170	wc	457
1171	b	457
1172	c1	457
1173	sl1	457
1174	sl1	458
1175	c1	459
1176	c1	459
1177	wc	460
1178	c1	460
1179	d3	460
1180	ts	460
1181	mt	460
1182	s1	460
1183	d3	460
1184	sl2	461
1185	s2	461
1186	c1	461
1187	ts	461
1188	fl	461
1189	wc	461
1190	bs	461
1191	sl1	461
1192	fl	461
1193	ms	461
1194	sl3	461
1195	fl	462
1196	fl	462
1197	ss	462
1198	fl	462
1199	s1	462
1200	sl1	463
1201	c1	463
1202	ss	463
1203	mt	463
1204	d2	463
1205	s2	463
1206	mt	464
1207	d2	464
1208	sl1	464
1209	b	464
1210	wc	464
1211	pt	464
1212	d2	464
1213	ms	465
1214	ts	465
1215	bf	466
1216	ms	466
1217	d2	466
1218	s1	466
1219	s1	466
1220	pt	466
1221	d1	466
1222	s2	466
1223	sl2	467
1224	bf	467
1225	d2	467
1226	ms	467
1227	s1	467
1228	fl	467
1229	fl	467
1230	fl	468
1231	ts	468
1232	ms	468
1233	sl3	468
1234	sl3	468
1235	d1	468
1236	d1	468
1237	wc	468
1238	ss	468
1239	d1	468
1240	wc	469
1241	fl	469
1242	bs	469
1243	mt	469
1244	bs	469
1245	ss	469
1246	s1	469
1247	d2	469
1248	ss	469
1249	pt	470
1250	wc	470
1251	c3	470
1252	c3	470
1253	pt	470
1254	wc	470
1255	d3	470
1256	ts	470
1257	c1	470
1258	pt	470
1259	ts	471
1260	sl3	471
1261	fl	472
1262	sl3	472
1263	mt	472
1264	fl	472
1265	bs	472
1266	d2	473
1267	s1	473
1268	mt	473
1269	c2	474
1270	ts	474
1271	c3	474
1272	s1	474
1273	s2	474
1274	s1	474
1275	bf	474
1276	ss	474
1277	d3	474
1278	c1	475
1279	sl3	475
1280	d3	475
1281	d2	475
1282	ms	475
1283	d1	475
1284	ms	476
1285	d1	476
1286	wc	477
