recipeItemId	productCode	compCatId	qty	unitId	componentId
1	c1	7	3	1	NULL
2	c1	1	1	1	NULL
3	c1	12	1	3	53
4	c1	5	1	3	37
5	c2	7	6	1	NULL
6	c2	1	1.5	1	NULL
7	c2	12	1	3	54
8	c2	5	1	3	37
9	c3	7	8	1	NULL
10	c3	1	2	1	NULL
11	c3	12	1	3	54
12	c3	5	1	3	37
13	wc	7	6	1	NULL
14	wc	1	1.5	1	NULL
15	wc	12	1	3	55
16	wc	5	1	3	37
17	cx	1	1	1	NULL
18	mt	17	1	3	70
19	d1	7	3	1	NULL
20	d1	1	1	1	NULL
21	d1	13	1	3	40
22	d1	14	1	3	50
23	d1	5	1	3	38
24	d2	7	6	1	NULL
25	d2	1	1.5	1	NULL
26	d2	13	1	3	40
27	d2	14	1	3	51
28	d2	5	1	3	38
29	d3	7	8	1	NULL
30	d3	1	2	1	NULL
31	d3	14	1	3	52
32	d3	13	1	3	40
33	d3	5	1	3	38
34	dx	1	1	1	NULL
35	sl1	11	12	1	NULL
36	sl1	8	12	1	56
37	sl1	14	1	3	44
38	sl1	15	1	3	45
39	sl1	16	1	3	42
40	sl1	2	0.25	1	NULL
41	sl1	5	1	3	38
42	sl2	11	20	1	NULL
43	sl2	8	20	1	56
44	sl2	14	1	3	46
45	sl2	15	1	3	47
46	sl2	16	1	3	42
47	sl2	2	0.5	1	NULL
48	sl2	5	1	3	38
49	sl3	11	32	1	NULL
50	sl3	8	32	1	56
51	sl3	14	1	3	48
52	sl3	15	1	3	49
53	sl3	16	1	3	43
54	sl3	2	0.75	1	NULL
55	sl3	5	1	3	38
56	slx	2	0.5	1	NULL
57	bf	7	5	1	NULL
58	bf	11	18	1	NULL
59	bf	8	18	1	56
60	bf	14	1	3	46
61	bf	16	1	3	43
62	bf	13	1	3	41
63	fl	7	6	1	NULL
64	fl	9	1	2	NULL
65	fl	14	1	3	46
66	fl	16	1	3	43
67	fl	13	1	3	41
68	dk	9	1	2	NULL
69	b	7	6	1	NULL
70	b	1	1.5	1	15
71	b	1	1.5	1	21
72	b	1	1.5	1	8
73	b	18	1	3	11
74	b	4	1	3	34
75	b	14	1	3	71
76	b	13	1	3	40
77	b	5	1	3	38
78	ss	7	6	1	NULL
79	ss	1	1.5	1	21
80	ss	18	4	1	72
81	ss	4	1	3	35
82	ss	14	1	3	71
83	ss	13	1	3	40
84	ss	5	1	3	38
85	ss	18	1	3	11
86	ts	7	8	1	NULL
87	ts	1	1.5	1	15
88	ts	1	1.5	1	12
89	ts	1	1.5	1	8
90	ts	1	1.5	1	21
91	ts	18	1	3	11
92	ts	14	1	3	71
93	ts	13	1	3	40
94	ts	5	1	3	38
95	bs	7	8	1	NULL
96	bs	1	1.5	1	21
97	bs	1	1.5	1	8
98	bs	1	1.5	1	15
99	bs	18	4	1	33
100	bs	18	1	3	11
101	bs	18	4	1	72
102	bs	18	4	1	73
103	bs	14	1	3	71
104	bs	13	1	3	40
105	bs	5	1	3	38
106	sx	1	5	1	NULL
107	ms	7	6	1	NULL
108	ms	8	0.75	4	64
109	ms	13	1	3	41
110	ms	14	1	3	46
111	ms	15	1	3	47
112	ms	16	1	3	43
113	ms	1	1	1	NULL
114	ms	5	1	3	38
115	s1	7	6	1	NULL
116	s1	1	1	1	21
117	s1	1	1	1	NULL
118	s1	18	1	3	11
119	s1	14	1	3	51
120	s1	13	1	3	40
121	s1	5	1	3	38
122	s2	7	8	1	NULL
123	s2	1	1.5	1	21
124	s2	1	1.5	1	NULL
125	s2	18	1	3	11
126	s2	14	1	3	52
127	s2	13	1	3	40
128	s2	5	1	3	38
129	wx	1	1	1	NULL
